"","date","outbrk_days","case","case_incrs","death","test","test_pos","hos","residential","grocery","park","retail","transit","workplace","punemp","ppov","pincome","pnoveh","puninsur","page65","black_deaths","white_deaths"
"76",2020-04-06,77,372558,28897,11564,1953334,19.0729286440517,35835,17.2029503466048,-13.6205712046345,17.7274205664326,-38.4621449902166,-35.1880756349039,-41.1982968468636,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,18.3623804380438,0.467527461095973
"77",2020-04-07,78,403227,30669,13517,2106948,19.1379663855017,43444,18.066936401002,-12.2290069569006,28.4766754112598,-38.4029965340259,-32.3191144322074,-43.1559449208968,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,18.9314887488749,0.941907586286362
"78",2020-04-08,79,433705,30478,15460,2254015,19.2414424926187,45120,18.1960345561226,-11.8659882184214,18.3385330235793,-38.5358295159362,-33.4233383510529,-43.583681227704,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,19.500597059706,1.41448315121632
"79",2020-04-09,80,468057,34352,17423,2424529,19.3050691495132,50845,19.3293478673718,-11.0025825253419,-2.72872965083213,-39.3174724774352,-36.0772471407726,-44.1868307114167,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,20.0697053705371,1.88222505840965
"80",2020-04-10,81,502360,34303,19472,2582365,19.4534854677786,52706,21.6360757066906,-9.11343167333305,1.83962496422789,-39.9037735922546,-39.7028069876571,-48.6912543812218,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,20.6388136813682,2.36957604744529
"81",2020-04-11,82,532854,30494,21450,2718766,19.599112244305,55555,13.2173551915608,-5.49214609533458,6.7569472979427,-42.5824006361086,-39.7634360539286,-33.3493175384014,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,21.2079219921993,2.85004515427558
"82",2020-04-12,83,560589,27735,23078,2857338,19.6192750035173,55410,12.3225717222959,-41.0000694091207,-18.2411057362838,-62.9849952392862,-48.8959363761236,-41.7912190773494,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,21.7770303030303,3.2578625708228
"83",2020-04-13,84,585716,25127,24649,2991274,19.5808207472803,56183,18.7807383098913,-19.9579231118583,-22.4008475856191,-41.3709697701101,-39.5225664715365,-42.9137148620145,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,14,4.7
"84",2020-04-14,85,611325,25609,26936,3142655,19.4525011495058,59588,18.2702962852221,-13.7703539049868,3.65988268042752,-36.2272759486797,-33.3999157185993,-41.5280275091439,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,14,4.7
"85",2020-04-15,86,641572,30247,29416,3279008,19.5660394851126,59931,17.7303730157649,-7.91232533039901,0.839735058429582,-28.6060396229268,-31.8513862758978,-41.2884420564786,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,14,4.7
"86",2020-04-16,87,672426,30854,31552,3442194,19.5348083228313,59490,18.5561654831421,-9.9040008229353,1.78523673933277,-32.6647831722411,-34.3544689891311,-41.3596764107387,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,14.2,4
"87",2020-04-17,88,704365,31939,33626,3600203,19.564591218884,58889,19.7414688015698,-13.222650900253,-2.09535174725111,-36.083307373678,-35.7608140075435,-40.3260991626542,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,14.2,4
"88",2020-04-18,89,732275,27910,35460,3745773,19.5493693825013,57590,12.5465554366836,-12.3634486559109,4.44901651722353,-38.8616342482856,-34.3695341954586,-29.1758699117844,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,14.2,4
"89",2020-04-19,90,759648,27373,37191,3899225,19.4820252742532,56360,10.2716688991196,-16.159652417484,24.4211215927966,-36.5190816438979,-38.1103556276437,-32.5781613150727,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,14.2,4
